Date, Temperature,Relat_Humid,Wind_Speed ,Solar Radi,Surf_Out_ Temp
2017-01-01,2.825079027,50.5,1.123597373,431.0626078,36.76411344
2017-01-01,2.775079027,48.33333333,1.061175297,407.9567075,35.05561486
2017-01-01,2.725079027,46.16666667,0.998753221,385.0033011,33.66577807
2017-01-01,2.675079027,44,0.936331144,362.2730984,32.03821583
2017-01-01,2.725079027,46.16666667,0.998753221,339.8342757,30.31972655
2017-01-01,2.775079027,48.33333333,1.061175297,317.75146,28.61339254
2017-01-01,2.825079027,50.5,1.123597373,296.0839794,26.98050463
2017-01-01,2.875079027,52.66666667,1.18601945,267.4911927,24.6173374
2017-01-01,2.925079027,54.83333333,1.248441526,240.0028981,22.55182078
2017-01-01,2.975079027,57,1.310863602,213.1042579,20.41824033
2017-01-01,2.80841236,58.33333333,1.466918793,175.6350397,16.9828344
2017-01-01,2.641745693,59.66666667,1.622973984,151.5037869,14.87283632
2017-01-01,2.475079027,61,1.779029175,128.6483774,12.72479094
2017-01-01,2.30841236,62.33333333,1.935084365,117.4573073,11.64916767
2017-01-01,2.141745693,63.66666667,2.091139556,115.5649607,13.10937636
2017-01-01,1.975079027,65,2.247194747,95.62011884,10.50301857
2017-01-01,1.775079027,64,1.976699083,75.7972751,7.413194788
2017-01-01,1.575079027,63,1.706203419,57.39067665,5.794670973
2017-01-01,1.375079027,62,1.435707755,0,-0.196917885
2017-01-01,1.175079027,61,1.165212091,0,-0.521360155
2017-01-01,0.975079027,60,0.894716427,0,-0.798547817
2017-01-01,0.775079027,59,0.624220763,0,-1.086387167
2017-01-01,0.30841236,61.5,0.572202366,0,-1.561525547
2017-01-01,-0.158254307,64,0.520183969,0,-2.032097086
2017-01-01,-0.624920973,66.5,0.468165572,0,-2.491566653
2017-01-01,-1.09158764,69,0.416147175,0,-3.193899642
2017-01-01,-1.558254307,71.5,0.364128778,0,-3.613986554
2017-01-01,-2.024920973,74,0.312110381,0,-4.079791923
2017-01-01,-2.358254307,74.83333333,0.260091985,0,-4.40453214
2017-01-01,-2.69158764,75.66666667,0.208073588,0,-4.749556303
2017-01-01,-3.024920973,76.5,0.156055191,0,-5.095069397
2017-01-01,-3.358254307,77.33333333,0.104036794,0,-5.44442626
2017-01-01,-3.69158764,78.16666667,0.052018397,0,-5.708335453
2017-01-01,-4.024920973,79,0,0,-6.240689673
2017-01-01,-3.574920973,79.66666667,0.052018397,0,-5.496495789
2017-01-01,-3.124920973,80.33333333,0.104036794,0,-5.011886573
2017-01-01,-2.674920973,81,0.156055191,0,-4.519107975
2017-01-01,-2.224920973,81.66666667,0.208073588,0,-4.036814208
2017-01-01,-1.774920973,82.33333333,0.260091985,0,-3.561336844
2017-01-01,-1.324920973,83,0.312110381,0,-3.096823123
